tool	family	seed_number	RMSE (training)	RMSE (test)	MAE (training)	MAE (test)	R^2 (test)	Pearson (test)
nat	PF01535	8582	0.079539828739775	0.09299748537129669	0.06205444109771797	0.07347350502627799	0.3633287842114947	0.6030782303333201
nat	PF07679	859	0.04091592907769538	0.13486796283617927	0.03269454714739945	0.10318528752956133	0.25335682474829846	0.5557212754799805
nat	PF07679	7733	0.04881323506776624	0.10010425259036873	0.0395679973811725	0.07972648412947593	0.212445488982266	0.6237786390839368
nat	PF07679	891	0.04494530932645176	0.15619319709120844	0.03608043130097311	0.12209073826975345	-0.683944407721433	0.038352124748108944
nat	PF07679	6541	0.046605027597448015	0.09099155224787298	0.03757529200946431	0.07264393901728737	0.6164290689029435	0.8057081820105476
nat	PF07679	4386	0.046909753009371426	0.10159027049068052	0.03701190546630311	0.08123661373984194	0.4486481100736984	0.7205185286069224
nat	PF07679	4327	0.04233971172421329	0.18193299460696014	0.03411691097304864	0.13210613840359656	-1.5185906176044033	-0.08080991644681884
nat	PF07679	6972	0.04735360733190656	0.11586388402362913	0.03779089746515411	0.09411603227254585	-0.06743464532191634	0.6354583565381936
nat	PF07679	941	0.042138154399368584	0.1814416818556788	0.03415152301960753	0.13175844966346284	-1.1553184879050402	0.1196496253571448
nat	PF07679	2014	0.04454252359061268	0.15278794756561315	0.03516742377157534	0.11671136870803026	-0.6539114560935146	-0.11308330750243176
nat	PF07679	8582	0.04423490548546771	0.11651582510697793	0.0351296745990052	0.09274675402824113	0.1833725076092112	0.6762997806506985
nat	PF13354	859	0.038440648481336485	0.059867916571647535	0.029529078978527613	0.04550502035172516	0.7417963797474041	0.87991490769023
nat	PF13354	7733	0.04117874802852615	0.05242917499167761	0.031560576519990044	0.041690728922828046	0.8630580265176051	0.929635382281793
nat	PF13354	891	0.0356808504164299	0.10523009460716402	0.02716816288082946	0.06445937506443233	0.4283207252515564	0.7663731766456252
nat	PF13354	6541	0.0407560529009613	0.05219811004102467	0.03152267378984815	0.04060123411279927	0.8487303944267431	0.9275794862559755
nat	PF13354	4386	0.03573152146472463	0.06770695541142567	0.02747826857167875	0.05195375165351282	0.7095008525355545	0.84876715099681
nat	PF13354	4327	0.03342300891978484	0.0995063053612172	0.025843715120710292	0.06684267948023861	0.4438122900589371	0.777330108833892
nat	PF13354	6972	0.03929991945126398	0.0699299900614681	0.0302002476006632	0.05310238228643426	0.7417083852794677	0.8919369203616204
nat	PF13354	941	0.03837680266151634	0.06958391640670193	0.028998632382361764	0.0508602180859895	0.602600746565433	0.8233133274310788
nat	PF13354	2014	0.03970607333241218	0.06353192963021904	0.030405387453991187	0.046665783512261805	0.782405276509557	0.9069665302850103
nat	PF13354	8582	0.038392119859822715	0.07298967052505617	0.02921820550760909	0.04853457385930455	0.7558587300232225	0.8711528771026869
nat	PF02518	859	0.07364840898725665	0.09046883526350238	0.0579685267095013	0.06599042381277982	0.7136719443245442	0.8479276487491363
nat	PF02518	7733	0.07441308123831855	0.09071278520202575	0.05864475917809956	0.06708722890452641	0.732741693778261	0.8573302541824018
nat	PF02518	891	0.07742868729321539	0.0805827099178426	0.06093300143806495	0.06325256466329024	0.7525474735574806	0.8683592314347968
nat	PF02518	6541	0.07630328763007858	0.08278696309498566	0.05985670017152274	0.06460674706551803	0.7628505689246954	0.8745291575658958
nat	PF02518	4386	0.07496754840172495	0.0873598829268261	0.058673656647276036	0.06458747672036079	0.7339565519870497	0.8603965195070609
nat	PF02518	4327	0.07712765829147449	0.0796314034376001	0.060730256052914273	0.06225997686700637	0.7683259530614377	0.878570145173316
nat	PF02518	6972	0.07541009718765129	0.08274859643438161	0.059264878527278575	0.06486234751931895	0.773741669314063	0.8817753667669239
nat	PF02518	941	0.07531895747233397	0.08858724447545768	0.059269844278861145	0.06387442538216985	0.7162090188506958	0.8520321469585358
nat	PF02518	2014	0.07562862319709893	0.08347679139936384	0.05947925165804137	0.06471618837162109	0.7512387808417116	0.8670932173869083
nat	PF02518	8582	0.07572896701213513	0.08250463398687735	0.0597056609762969	0.063908375761306	0.7656835387158171	0.8789126503536631
