tool	family	sim_ind	corrected_fd_corr	uncorrected_fd_corr
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00595	1	0.33329542690459013	0.38959360168613205
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00595	8	0.19638707067219588	0.26331183180677875
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00595	7	0.353818801958271	0.48201032195202187
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00595	6	0.33429160234556315	0.39987247040646035
MSA-1b-logitsprop-static-10-init-seq-0	PF00397	5	0.12098726590671541	0.1581967794959369
MSA-1b-logitsprop-static-10-init-seq-0	PF00397	2	0.19585664966720867	0.2318149154496442
MSA-1b-logitsprop-static-10-init-seq-0	PF00397	6	0.17565472623209755	0.21110294221708048
MSA-1b-logitsprop-static-10-init-seq-0	PF00397	4	0.15475695561505604	0.1950343498801265
MSA-1b-logitsprop-static-10-init-seq-0	PF00397	8	0.19644477600823668	0.22700475575613943
MSA-1b-logitsprop-static-10-init-seq-0	PF00397	9	0.14250255545738832	0.19412255526785294
MSA-1b-logitsprop-static-10-init-seq-0	PF00397	7	0.12984957594967245	0.17066674944080884
MSA-1b-logitsprop-static-10-init-seq-0	PF00397	1	0.12670115079008556	0.16933211066121484
MSA-1b-logitsprop-static-10-init-seq-0	PF00397	10	0.11810514410151816	0.1629179250989518
MSA-1b-logitsprop-static-10-init-seq-0	PF00397	3	0.14037955868898883	0.17550671802783394
MSA-1b-logitsprop-static-100-init-seq-0	PF00397	5	0.19178626943549587	0.23418617830225533
MSA-1b-logitsprop-static-100-init-seq-0	PF00397	2	0.19038998697805604	0.23232622925837992
MSA-1b-logitsprop-static-100-init-seq-0	PF00397	6	0.19642361504150446	0.23763618495302014
MSA-1b-logitsprop-static-100-init-seq-0	PF00397	4	0.1863993796906744	0.22388942316686095
MSA-1b-logitsprop-static-100-init-seq-0	PF00397	8	0.1673358662837103	0.2067304323039047
MSA-1b-logitsprop-static-100-init-seq-0	PF00397	9	0.19422579095193038	0.23827979784541453
MSA-1b-logitsprop-static-100-init-seq-0	PF00397	7	0.17342951995678516	0.22193197085083374
MSA-1b-logitsprop-static-100-init-seq-0	PF00397	1	0.1778219693150437	0.23015843634039596
MSA-1b-logitsprop-static-100-init-seq-0	PF00397	10	0.16674244858779613	0.21285290233124188
MSA-1b-logitsprop-static-100-init-seq-0	PF00397	3	0.14057612275300607	0.18940558123658757
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00397	5	0.23657668158218348	0.2924664216041199
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00397	2	0.25320373461949697	0.303518927856899
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00397	6	0.22578709965716873	0.2766494868047553
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00397	4	0.25958443385859686	0.3141623100461407
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00397	8	0.24516656872127174	0.29449594643866284
